QID,State,Region,Q1.Malaysian_Citizen,Q2.Gender,Q3.Living_Area,Q4.4.Age,Q5.Ethnic_Group_Recode,Q6.Norms_Number_of_Meals_Per_Day,Q6.Norms_Number_of_Meals_Per_Day_Recode,Q7.Norms_Number_of_food_intakes_in_between_meals,Q8.1.Norms_for_Breakfast,Q8.2.Norms_for_Brunch,Q8.3.Norms_for_Lunch,Q8.4.Norms_for_Dinner,Q8.5.Norms_for_Supper,Q8.6.Norms_for_Snack,Q8.7.Norms_for_TeaTime,Q9.1.Number._of_Times_Eat_at_Home_Last_Week,Q9.2.Number_of_Times_Eat_Outside_Last_Week,Q9.Total_Food_Intake_the_Week_Before,Q11_1_Rice_Frequency_Basis,Q11_1_Rice_Frequency,Q11_2_Flavoured_Rice_Freuency_Basis,Q11_2_Flavoured_Rice_Frequency,Q11_3_Noodles_Freuency_Basis,Q11_3_Noodles_Frequency,Q11_4_Mihun..._Frequency_Basis,Q11_4_Mihun..._Frequency,Q11_5_Sagu...._Frequency_Basis,Q11_5_Sagu...._Frequency,Q11_6_Bread_Frequency_Basis,Q11_6_Bread_Frequency,Q11_7_Roti_Canai_Frequency_Basis,Q11_7_Roti_Canai_Frequency,Q11_8_Corn_Frequency_Basis,Q11_8_Corn_Frequency,Q11_9_ChickenDuck_Frequency_Basis,Q11_9_ChickenDuck_Frequency,Q11_10_Meat_Frequency_Basis,Q11_10_Meat_Frequency_Frequency,Q11_10_Meat_Frequency_Average_day,Q11_11_Pork_Frequency_Basis,Q11_11_Pork_Frequency,Q11_12_OtherMeat_Frequency_Basis,Q11_12_OtherMeat_Frequency,Q11_13_Fish_Frequency_Basis,Q11_13_Fish_Frequency,Q11_14_FishCrackers_Frequency_Basis,Q11_14_FishCrackers_Frequency,Q11_15_Eggs_Frequency_Basis,Q11_15_Eggs_Frequency,Q11_16_Burger_Frequency_Basis,Q11_16_Burger_Frequency,Q11_17_FriedChicken_Frequency_Basis,Q11_17_FriedChicken_Frequency,Q11_18_Legumes_Frequency_Basis,Q11_18_Legumes_Frequency,Q11_19_Groundnuts_Frequency_Basis,Q11_19_Groundnuts_Frequency,Q11_20_SoyaBeanCurd_Frequency_Basis,Q11_20_SoyaBeanCurd_Frequency,Q11_21_FermentedSoyBeans_Frequency_Basis,Q11_21_FermentedSoyBeans_Frequency,Q11_22_Milk_Frequency_Basis,Q11_22_Milk_Frequency,Q11_23_MilkShake_Frequency_Basis,Q11_23_MilkShake_Frequency,Q11_24_GreenLeafyVegetables_Frequency_Basis,Q11_24_GreenLeafyVegetables_Frequency,Q11_25_LadiesFinger_Frequency_Basis,Q11_25_LadiesFinger_Frequency,Q11_26_OtherLegumes_Frequency_Basis,Q11_26_OtherLegumes_Frequency,Q11_27_BeanSprout_Frequency_Basis,Q11_27_BeanSprout_Frequency,Q11_28_Tubers_Frequency_Basis,Q11_28_Tubers_Frequency,Q11_29_Cabbages_Frequency_Basis,Q11_29_Cabbages_Frequency,Q11_30_FruitVegetables_Frequency_Basis,Q11_30_FruitVegetables_Frequency,Q11_31_SoyMilk_Frequency_Basis,Q11_31_SoyMilk_Frequency,Q11_32_ChocolateMaltDrink_Frequency_Basis,Q11_32_ChocolateMaltDrink_Frequency,Q12_Who_Cook,Q13_Food_Statement,Q14.1_1st_Dish_Represent_Malaysian_Food_Exact_Answer,Q14.2_2nd_Dish_Represent_Malaysian_Food_Exact_Answer,Q14bis_NasiLemak_Present_Malaysian_Food,Q15.1_Eating_Well_1st,Q15.2_Eating_Well_2nd,Q16.1_Food_Beneficial_1st_Exact_Answer,Q16.2_Food_Beneficial_2nd_Exact_Answer,Q17.1_Food_to_Reduce_1st_Exact_Answer,Q17.2_Food_to_Reduce_2nd_Exact_Answer,Q18.1_Top3Risks_Risk1,Q18.2_Top3Risks_Risk2,Q18.3_Top3Risks_Risk3,Q19a_Cultural_Identity_1_Exact_Answer,Q19a_Cultural_Identity_2_Exact_Answer,Q19a_Cultural_Identity_3_Exact_Answer,Q19b.1_Rank_3_Identity_1,Q19b.2_Rank_3_Identity_2,Q19b.3_Rank_3_Identity_3,Q20.1_Race_Mother,Q20.2_Race_Father,Q20.3_Race_Grandmother_Mother,Q20.4_Race_Grandfather_Mother,Q20.5_Race_Grandmother_Father,Q20.6_Race_Grandfather_Father,Q21.1_Spoken_Language_1,Q21.2_Spoken_Language_2,Q21.3_Spoken_Language_3,Q21.4_Spoken_Language_4,Q21.5_Spoken_Language_5,Q21.6_Spoken_Language_6,Q21.10_Spoken_Language_7,Q21.11_Spoken_Language_8,Q22a_Current_Religion,Q22b_Convert_Religion,Q22c_Previous_Religion,Q23_Influence_Religion_on_FoodHabits,Q24_Height_CM,Q24_Recode_Height_M,Q25_Weight,BMI,Q26.1_1st_Occupation_Original_Answer,Q26.2_2nd_Occupation_Original_Answer,Q27_Occupation_Father_Original_Answer,Q28_Level_of_Education,Q29a_Marital_Status,Q29b_Spouse_Ethnicity,Q30_Children_Number,Q31_Family_Members_Number,Q32_Income_Average_RM_Recode_All,Q33_Changes_Personal_Income,Q34_Permission_Contact
1034,Selangor,Central,Yes,Female,Urban,55,Malay,3 meals per day,3 Meals,Once or twice a day,1 Dish of Rice / Noodles mixed with other food in the plate +/- Beverage,,1 Dish of Rice / Noodles with other food in the plate not mixed +/- beverage,1 Dish of Rice / Noodles with shared dished (Including lazy Suzan) +/- Beverage,Only Beverage,Only Beverage,"Local/Western Pastries (Kuih Muih, Cakes, Pastries, Sandwich) +/- Beverage",19,2,21,Daily,1.0,Weekly,1,Weekly,1,Weekly,1,Seldom,0,Daily,1,Monthly,1,Seldom,0,Daily,1,Daily,2,2.0,Seldom,0.0,Seldom,0,Weekly,2,Weekly,1,Weekly,4,Seldom,0,Monthly,2.0,Daily,1,Weekly,3,Monthly,2,Monthly,1,Weekly,3,Monthly,1,Daily,2,Daily,2,Daily,1,Daily,1,Daily,1,Daily,1,Daily,1,Monthly,1,Monthly,1,Myself,Food must be first of all a need,Nasi lemak,Roti Canai,Strongly agree,Health,Pleasure,Fruits,Milk,Sugar,Salty Food,Genetically Modify Organism (GMO),Unbalance diet to fat or too much sugar,Colouring or preservatives,Celebration,Traditional clothes,Food,Malay,Indian,Chinese,Malay,Malay,Malay,Malay,Malay,Malay,Malay,,,,,,,,Muslim,No,Not converted,Very religious,151.0,1.51,70.0,30.700407876847503,Housewife,,Government,Upper secondary school SPM / O level,Married in monogamous marriage,Malay,4.0,6,5000,Have remained more or less stable,Yes
1435,Johor,South,Yes,Male,Urban,48,Malay,2 meals per day,1 or 2 Meal(s),3 - 4 times a day,"Small items (Nuts, Fruits,Kuih-Muih,etc)+/- Beverage","Small items (Nuts, Fruits,Kuih-Muih,etc)+/- Beverage",1 Dish of Rice / Noodles with other food in the plate not mixed +/- beverage,1 Dish of Rice / Noodles with other food in the plate not mixed +/- Beverage,1 Dish of Rice / Noodles mixed with other food in the plate ( incl. Rice Porridge or Instant Noodles) +/- Beverage,"Local/Western Pastries (Kuih Muih, Cakes, Pastries, Sandwich) +/- Beverage","Local/Western Pastries (Kuih Muih, Cakes, Pastries, Sandwich) +/- Beverage",12,9,21,Daily,2.0,Weekly,4,Monthly,1,Monthly,1,Seldom,0,Weekly,4,Weekly,5,Seldom,0,Weekly,5,Weekly,5,0.71,Seldom,0.0,Seldom,0,Weekly,2,Seldom,0,Daily,1,Monthly,4,Weekly,2.0,Monthly,1,Seldom,0,Seldom,0,Seldom,0,Weekly,2,Weekly,2,Weekly,2,Monthly,2,Seldom,0,Seldom,0,Weekly,2,Weekly,1,Weekly,1,Monthly,1,Weekly,2,My wife,Food must be forst of all shared with someone,Satay,Lontong,Agree,Health,Fill the stomach,Vegetables,Bread,Syrup,Carbonated Drinks,Colouring or preservatives,Food epidemic,Contamination by Pollutant,Fasting,Eat spicy foods,Pray 5 times a day,Malay,Muslim,Malaysian,Malay,Malay,Malay,Malay,Malay,Malay,Malay,,,,,,,,Muslim,No,Not converted,Moderately religious,165.0,1.65,65.0,23.875114784205696,Own business,,Own business,Upper secondary school SPM / O level,Married in monogamous marriage,Malay,4.0,6,4500,Have remained more or less stable,Yes
975,Selangor,Central,Yes,Male,Urban,27,Indian,3 meals per day,3 Meals,Once or twice a day,1 Dish of Rice / Noodles with other food in the plate not mixed +/- Beverage,1 Dish of Rice / Noodles with other food in the plate not mixed +/- Beverage,1 Dish of Rice / Noodles mixed with other food in the plate ( incl Rice Porridge or Instant Noodles) +/- Beverage,Only Beverage,1 Dish of Roti Canai / Thosai / Chapati mixed with curry +/- Beverage,"Sweet / Savory Snacks (Biscuits, Chocolates, Candies, Chips, Nuts) +/- Beverage","Local/Western Pastries (Kuih Muih, Cakes, Pastries, Sandwich) +/- Beverage",13,6,19,Daily,2.0,Weekly,3,Weekly,2,Weekly,2,Seldom,0,Weekly,2,Weekly,2,Seldom,0,Daily,1,Weekly,2,0.29,Weekly,2.0,Seldom,0,Weekly,7,Monthly,2,Daily,1,Weekly,3,Weekly,2.0,Seldom,0,Monthly,2,Seldom,0,Seldom,0,Weekly,2,Monthly,4,Daily,1,Weekly,6,Seldom,0,Weekly,4,Monthly,7,Weekly,3,Daily,1,Seldom,0,Weekly,2,My Mother,Food must be first of all a need,Nasi Lemak,Fried Maggie,Strongly agree,Gives Energy,Health,Thosai,Soup,Carbohydrate,Oily Food,Expired food,Germs or bacteria in Food,Unbalance diet to fat or too much sugar,Peace,Multi racial,Food,Malay,Bumiputra,Malaysian,Indian - Malay,Indian - Malay,Indian - Malay,Indian - Malay,Indian - Malay,Indian - Malay,English,Hakka,,,,,,,Hindu,No,Not converted,Moderately religious,180.0,1.8,68.0,20.987654320987655,Technician,,Technician,Upper secondary school SPM / O level,Single or never married,,2.0,6,4500,Have increased more than 10%,No
728,Kedah,North,Yes,Female,SubUrban,67,Malay,1 meal per day,1 or 2 Meal(s),Once or twice a day,1 Dish of Rice / Noodles mixed with other food in the plate +/- Beverage,Only Beverage,1 Dish of Rice / Noodles with other food in the plate not mixed +/- beverage,Only Beverage,Only Beverage,Only Beverage,Only Beverage,14,7,21,Daily,1.0,Weekly,1,Monthly,1,Seldom,0,Seldom,0,Seldom,1,Weekly,1,Seldom,0,Weekly,3,Seldom,0,0.0,Seldom,0.0,Seldom,0,Daily,1,Seldom,0,Weekly,1,Seldom,0,Weekly,1.0,Seldom,0,Seldom,0,Seldom,0,Seldom,0,Daily,1,Seldom,0,Monthly,2,Weekly,2,Seldom,1,Seldom,0,Monthly,2,Monthly,2,Monthly,3,Seldom,0,Seldom,0,Myself,Food must first of all prevent health problems,Nasi Lemak,Roti Canai,Agree,Health,Gives Energy,Milk powder,Fruits,Sugar,Oily Food,Expired food,Pesticides on agricultural products,Germs or bacteria in Food,Fasting,curry,nasi lemak,Muslim,Malaysian,Malay,Malay,Malay,Malay,Malay,Malay,Malay,Malay,,,,,,,,Muslim,No,Not converted,Very religious,152.0,1.52,42.0,18.178670360110804,Statistical assistant,,Teacher,Primary school,Married in monogamous marriage,Malay,4.0,2,1800,Have remained more or less stable,No
1023,Selangor,Central,Yes,Female,Urban,46,Malay,3 meals per day,3 Meals,Never,Breakfast with Toast +/- Beverage,1 Dish of Rice / Noodles with other food in the plate not mixed +/- Beverage,1 Dish of Rice / Noodles mixed with other food in the plate ( incl Rice Porridge or Instant Noodles) +/- Beverage,1 Dish of Rice / Noodles mixed with other food in the plate ( incl. Rice Porridge or Instant Noodles) +/- Beverage,1 Dish of Rice / Noodles mixed with other food in the plate ( incl. Rice Porridge or Instant Noodles) +/- Beverage,"Local/Western Pastries (Kuih Muih, Cakes, Pastries, Sandwich) +/- Beverage",Only Beverage,16,5,21,Daily,2.0,Seldom,0,Daily,1,Weekly,3,Monthly,4,Weekly,2,Weekly,2,Seldom,0,Daily,2,Weekly,2,0.29,Seldom,0.0,Seldom,0,Seldom,0,Seldom,0,Daily,1,Seldom,0,Seldom,0.0,Seldom,0,Seldom,0,Seldom,0,Monthly,5,Daily,1,Seldom,0,Daily,2,Weekly,3,Weekly,2,Weekly,1,Seldom,0,Seldom,0,Seldom,0,Daily,1,Seldom,0,Myself,Food must be first of all a need,Nasi Lemak,Chicken rendang,Strongly agree,Health,Pleasure,Milk,Vegetables,Sugar,Fatty Food,Pesticides on agricultural products,Colouring or preservatives,Germs or bacteria in Food,Baju Kurung,Baju Melayu,Wear tudung,Malaysian,Chinese,Taoist,Malay,Malay,Malay,Malay,Malay,Malay,Malay,,,,,,,,Muslim,No,Not converted,Decline to answer,150.0,1.5,50.0,22.222222222222225,Refuse,Decline to answer,Decline to answer,Lower secondary school / SRP,Living in as married (or cohabitation),Malay,5.0,7,10000,Have increased more than 10%,Yes
712,Kedah,North,Yes,Female,Rural,31,Malay,3 meals per day,3 Meals,Once or twice a day,1 Dish of Roti Canai / Thosai / Chapati mixed with curry +/- Beverage,1 Dish of Rice / Noodles with other food in the plate not mixed +/- Beverage,1 Dish of Rice / Noodles with shared dishes (Including lazy Suzan) +/- Beverage,1 Dish of Rice / Noodles with shared dished (Including lazy Suzan) +/- Beverage,Sandwich / Burger / Savoury Patries +/- Beverage,"Sweet / Savory Snacks (Biscuits, Chocolates, Candies, Chips, Nuts) +/- Beverage","Local/Western Pastries (Kuih Muih, Cakes, Pastries, Sandwich) +/- Beverage",21,0,21,Daily,2.0,Monthly,3,Weekly,2,Monthly,3,Seldom,0,Weekly,2,Monthly,3,Seldom,0,Weekly,3,Monthly,2,0.07,Seldom,0.0,Seldom,0,Daily,2,Seldom,0,Weekly,4,Monthly,3,Weekly,3.0,Seldom,0,Seldom,0,Monthly,2,Seldom,0,Monthly,3,Seldom,0,Weekly,4,Weekly,4,Seldom,1,Monthly,3,Monthly,1,Monthly,2,Seldom,0,Monthly,2,Seldom,0,Myself,Food must be first of all a need,Nasi lemak,Roti canai,Agree,Health,Gives Energy,Vegetables,Fish,Fast Food,Oily Food,Pesticides on agricultural products,Germs or bacteria in Food,Unbalance diet to fat or too much sugar,Friendly,Cook,Pray,Muslim,Malay,Malaysian,Malay,Malay,Malay,Malay,Malay,Malay,Malay,,,,,,,,Muslim,No,Not converted,Very religious,151.0,1.51,70.0,30.700407876847503,Clerk,,Decline to answer,Upper secondary school SPM / O level,Married in monogamous marriage,Malay,1.0,3,6500,Have remained more or less stable,Yes
744,Kedah,North,Yes,Male,Urban,27,Malay,3 meals per day,3 Meals,Once or twice a day,1 Dish of Roti Canai / Thosai / Chapati mixed with curry +/- Beverage,1 Dish of Rice / Noodles with other food in the plate not mixed +/- Beverage,Buffet +/- Beverage,1 Dish of Rice / Noodles mixed with other food in the plate ( incl. Rice Porridge or Instant Noodles) +/- Beverage,Only Beverage,Fruits / Hot or Cold Dessert +/- Beverage,"Local/Western Pastries (Kuih Muih, Cakes, Pastries, Sandwich) +/- Beverage",19,3,22,Daily,2.0,Weekly,2,Seldom,0,Seldom,0,Seldom,0,Weekly,1,Seldom,0,Seldom,0,Weekly,4,Monthly,1,0.03,Seldom,0.0,Seldom,0,Monthly,1,Monthly,1,Weekly,4,Seldom,0,Weekly,4.0,Seldom,0,Seldom,0,Seldom,0,Seldom,0,Seldom,0,Monthly,1,Weekly,1,Weekly,1,Weekly,1,Weekly,2,Monthly,2,Weekly,2,Weekly,1,Monthly,1,Seldom,0,My wife,Food must be first of all a need,Nasi Lemak,Roti Canai,Strongly agree,Gives Energy,Health,Cereal,Fruits,Sugar,High colesterol food,Unbalance diet to fat or too much sugar,Contamination by Pollutant,Colouring or preservatives,Business,bundle,animasi,Indian,Malaysian,Hindu,Malay,Malay,Chinese,Chinese,Chinese,Chinese,Malay,,,,,,,,Muslim,No,Not converted,Very religious,170.0,1.7,69.0,23.875432525951556,Unemployed,,Clerk,College / University,Living in as married (or cohabitation),Malay,0.0,3,2500,Have remained more or less stable,No
441,Selangor,Central,Yes,Male,Urban,30,Malay,3 meals per day,3 Meals,Never,1 Dish of Rice / Noodles with other food in the plate not mixed +/- Beverage,,1 Dish of Rice / Noodles with other food in the plate not mixed +/- beverage,1 Dish of Rice / Noodles with shared dished (Including lazy Suzan) +/- Beverage,,,,14,7,21,Daily,2.0,Weekly,1,Weekly,1,Seldom,0,Seldom,0,Monthly,3,Weekly,1,Monthly,1,Daily,1,Weekly,1,0.14,Seldom,0.0,Seldom,0,Weekly,3,Monthly,1,Weekly,2,Monthly,2,Daily,1.0,Monthly,1,Monthly,1,Seldom,0,Monthly,1,Weekly,2,Monthly,1,Daily,1,Monthly,1,Weekly,3,Monthly,1,Monthly,1,Weekly,2,Weekly,1,Seldom,0,Weekly,1,My Mother,Food must be first of all a need,Nasi lemak,Nasi dagang,Strongly agree,Health,Pleasure,Protein,Vegetables,Oily Food,Fatty Food,Food epidemic,Colouring or preservatives,Expired food,Malay,Muslim,Malaysian,Muslim,Malay,Bumiputra,Malay,Malay,Malay,Malay,Malay,Malay,Malay,English,,,,,,,Muslim,No,Not converted,Very religious,172.0,1.72,72.0,24.337479718766904,Teacher,,Decline to answer,College / University,Married in monogamous marriage,Malay,0.0,3,2500,Have remained more or less stable,No
604,N. Sembilan,South,Yes,Female,SubUrban,31,Malay,3 meals per day,3 Meals,Once or twice a day,1 Dish of Roti Canai / Thosai / Chapati mixed with curry +/- Beverage,,1 Dish of Rice / Noodles with other food in the plate not mixed +/- beverage,1 Dish of Rice / Noddles mixed with other food in the plate ( incl Rice Porridge or Instant Noodles) +/- Beverage + F/D,"Small items (Nuts,Fruits,Kuih-Muih,etc) +/- Beverage",,Only Beverage,14,7,21,Daily,2.0,Weekly,1,Weekly,1,Weekly,1,Seldom,0,Weekly,1,Monthly,4,Monthly,4,Daily,2,Weekly,1,0.14,Seldom,0.0,Seldom,0,Weekly,1,Seldom,0,Daily,2,Weekly,1,Weekly,1.0,Weekly,2,Weekly,1,Monthly,4,Daily,2,Monthly,2,Monthly,4,Daily,2,Monthly,4,Weekly,2,Monthly,4,Monthly,4,Weekly,3,Monthly,4,Monthly,4,Weekly,3,My Mother,Food must be forst of all shared with someone,Satay,Nasi Lemak,Agree,Health,Gives Energy,Green Tea,Broccoli,Fat,Fast Food,Contamination by Pollutant,Pesticides on agricultural products,Colouring or preservatives,Daughter,Smart,Degree Holder,Malaysian,Chinese,Sarawakian,Malay,Malay,Malay,Malay,Malay,Malay,Malay,English,,,,,,,Muslim,No,Not converted,Lightly religious,171.0,1.71,45.0,15.389350569405973,Student,,Decline to answer,College / University,Single or never married,,0.0,3,6000,Have remained more or less stable,No
1177,Terengganu,East Coast,Yes,Male,SubUrban,41,Malay,3 meals per day,3 Meals,Once or twice a day,1 Dish of Roti Canai / Thosai / Chapati mixed with curry +/- Beverage,1 Dish of Roti Canai / Thosai / Chapati mixed with curry +/- Beverage,1 Dish of Rice / Noodles with other food in the plate not mixed +/- beverage,1 Dish of Rice / Noodles with shared dished (Including lazy Suzan) +/- Beverage,1 Dish of Roti Canai / Thosai / Chapati mixed with curry +/- Beverage,Rice / Roti Canai / Noodles +/- Beverage,Only Beverage,14,7,21,Daily,2.0,Seldom,0,Seldom,0,Seldom,0,Seldom,0,Monthly,3,Monthly,3,Seldom,0,Daily,1,Weekly,2,0.29,Seldom,0.0,Seldom,0,Monthly,3,Monthly,1,Weekly,4,Seldom,0,Weekly,2.0,Seldom,0,Monthly,2,Seldom,0,Seldom,0,Weekly,2,Weekly,1,Daily,1,Seldom,0,Seldom,0,Monthly,3,Weekly,1,Weekly,2,Seldom,0,Monthly,1,Weekly,1,My wife,Food must be first of all a need,Nasi lemak,Roti Canai,Strongly agree,Health,Fill the stomach,Vegetables,Fruits,Vegetable contain pesticides,Oily Food,Food epidemic,Pesticides on agricultural products,Germs or bacteria in Food,Polite,Helpful,Respectful,Muslim,Malay,Malaysian,Malay,Malay,Malay,Malay,Malay,Malay,Malay,,,,,,,,Muslim,No,Not converted,Very religious,160.0,1.6,65.0,25.390625,Housewife,,Government,Lower secondary school / SRP,Married in monogamous marriage,Malay,5.0,6,5000,Have increased more than 10%,Yes
1413,Pahang,East Coast,Yes,Male,Urban,50,Malay,3 meals per day,3 Meals,Once or twice a day,1 Dish of Roti Canai / Thosai / Chapati mixed with curry +/- Beverage,1 Dish of Roti Canai / Thosai / Chapati mixed with curry +/- Beverage,1 Dish of Rice / Noodles with other food in the plate not mixed +/- beverage,1 Dish of Rice / Noodles with other food in the plate not mixed +/- Beverage,"Small items (Nuts,Fruits,Kuih-Muih,etc) +/- Beverage","Sweet / Savory Snacks (Biscuits, Chocolates, Candies, Chips, Nuts) +/- Beverage",Only Beverage,21,0,21,Daily,1.0,Weekly,2,Weekly,1,Weekly,2,Seldom,0,Weekly,4,Weekly,3,Monthly,1,Weekly,4,Weekly,1,0.14,Seldom,0.0,Seldom,0,Weekly,3,Monthly,1,Daily,1,Weekly,2,Weekly,3.0,Monthly,4,Monthly,2,Weekly,1,Monthly,1,Weekly,3,Weekly,1,Weekly,4,Weekly,1,Monthly,3,Monthly,2,Weekly,2,Weekly,1,Weekly,2,Weekly,2,Weekly,1,My wife,Food must be first of all a need,Nasi dagang,Nasi Minyak,Strongly agree,Pleasure,Traditions,Milk,Bread,Oily Food,Sugar,Contamination by Pollutant,Colouring or preservatives,Genetically Modify Organism (GMO),Friendly,Polite,Urbane,Bumiputra,Muslim,Malay,Malay,Malay,Malay,Malay,Malay,Malay,Malay,,,,,,,,Muslim,No,Not converted,Moderately religious,167.0,1.67,60.0,21.513858510523864,Laborers,,Technician,Upper secondary school SPM / O level,Married in monogamous marriage,Malay,2.0,4,5000,Have increased more than 10%,Yes
1084,Perak,Central,Yes,Male,SubUrban,30,Malay,1 meal per day,1 or 2 Meal(s),Once or twice a day,1 Dish of Rice / Noodles with other food in the plate not mixed +/- Beverage,1 Dish of Rice / Noodles mixed with other food in the plate +/- Beverage,1 Dish of Rice / Noodles with shared dishes (Including lazy Suzan) +/- Beverage,1 Dish of Rice / Noodles with shared dished (Including lazy Suzan) +/- Beverage,1 Dish of Roti Canai / Thosai / Chapati mixed with curry +/- Beverage,"Local/Western Pastries (Kuih Muih, Cakes, Pastries, Sandwich) +/- Beverage",Only Beverage,14,7,21,Daily,2.0,Monthly,2,Monthly,2,Monthly,1,Seldom,0,Weekly,2,Monthly,1,Seldom,0,Weekly,3,Weekly,3,0.43,Seldom,0.0,Seldom,0,Weekly,1,Seldom,0,Daily,1,Weekly,1,Weekly,2.0,Monthly,2,Monthly,1,Monthly,1,Seldom,0,Weekly,1,Weekly,1,Weekly,3,Weekly,1,Seldom,0,Seldom,0,Seldom,0,Seldom,0,Weekly,3,Monthly,1,Weekly,1,My Mother,Food must be first of all a need,Seafood,Vegetables,Agree,Health,Traditions,Tomato,Ulam,Chili,Salty Food,Food epidemic,Genetically Modify Organism (GMO),Pesticides on agricultural products,Gracious,Attire,Attitude and religion,Muslim,Malay,Malaysian,Malay,Malay,Malay,Malay,Malay,Malay,Malay,,,,,,,,Muslim,No,Not converted,Moderately religious,161.0,1.61,61.0,23.533042706685695,Unemployed,,Laborers,Lower secondary school / SRP,Single or never married,,0.0,4,4000,Have increased more than 10%,No
555,Sarawak,East Malaysia,Yes,Female,SubUrban,24,Malay,4 meals per day,4 Meals or more,3 - 4 times a day,All day Breakfast with Sausage and Eggs +/- Beverage,1 Dish of Rice / Noodles mixed with other food in the plate +/- Beverage,1 Dish of Rice / Noodles mixed with other food in the plate ( incl Rice Porridge or Instant Noodles) +/- Beverage,1 Dish of Rice / Noodles with shared dished (Including lazy Suzan) +/- Beverage,Sandwich / Burger / Savoury Patries +/- Beverage,"Sweet / Savory Snacks (Biscuits, Chocolates, Candies, Chips, Nuts) +/- Beverage","Local/Western Pastries (Kuih Muih, Cakes, Pastries, Sandwich) +/- Beverage",18,4,22,Daily,2.0,Daily,1,Weekly,2,Monthly,3,Seldom,0,Daily,1,Weekly,1,Monthly,2,Monthly,3,Monthly,2,0.07,Seldom,0.0,Seldom,0,Monthly,2,Monthly,2,Daily,1,Weekly,2,Weekly,3.0,Weekly,1,Monthly,4,Weekly,1,Weekly,1,Daily,1,Weekly,4,Daily,1,Weekly,3,Monthly,2,Daily,2,Daily,1,Weekly,2,Daily,1,Weekly,3,Daily,1,Myself,Food must be first of all a need,Roti John,Murtabak,Strongly agree,Health,Traditions,Green tea,Honey,Sugar,Sodas,Food epidemic,Pesticides on agricultural products,Unbalance diet to fat or too much sugar,Hari Raya,Baju Kurung,fasting,Sarawakian,Malaysian,Chinese,Malay,Malay,Non Malay Bumiputra,Non Malay Bumiputra,Malay,Malay,Malay,English,,,,,sarawak,,Muslim,No,Not converted,Lightly religious,153.0,1.53,71.0,30.33021487462087,Student,,Land Surveyor,College / University,Single or never married,,0.0,6,7000,Have increased more than 10%,Yes
561,Sarawak,East Malaysia,Yes,Female,Urban,64,Chinese,3 meals per day,3 Meals,Once or twice a day,All day Breakfast with Sausage and Eggs +/- Beverage,,1 Dish of Rice / Noodles with other food in the plate not mixed +/- beverage,Soup +/- Beverage,"Small items (Nuts,Fruits,Kuih-Muih,etc) +/- Beverage",Only Beverage,,13,7,20,Daily,2.0,Weekly,1,Monthly,1,Monthly,1,Seldom,0,Daily,3,Monthly,1,Monthly,3,Daily,2,Weekly,1,0.14,Monthly,1.0,Seldom,0,Weekly,1,Seldom,0,Weekly,2,Seldom,0,Monthly,1.0,Daily,1,Monthly,1,Weekly,3,Seldom,0,Daily,1,Seldom,0,Daily,3,Weekly,2,Weekly,2,Weekly,1,Seldom,0,Weekly,1,Weekly,1,Daily,1,Seldom,0,Myself,Food must be first of all a need,Kuey teow,Noodles,Disagree,Health,Togetherness,Omega,Chia seed,Sugar,MSG,Food epidemic,Germs or bacteria in Food,Genetically Modify Organism (GMO),Durian Festival,Ngulam,Chinese New Year,Sarawakian,Malaysian,Chinese,Chinese,Non Malay Bumiputra,Non Malay Bumiputra,Non Malay Bumiputra,Non Malay Bumiputra,Non Malay Bumiputra,Malay,English,Mandarin,,,,Foo chow,,Christian,No,Not converted,Not religious at all,161.0,1.61,59.0,22.76146753597469,Administrive Clerk,,Church Assistant,Marticulation / Form 6 STPM / A level,Divorced,Chinese,2.0,3,2500,Have decreased more than 10%,Yes
1398,Pahang,East Coast,Yes,Male,SubUrban,25,Malay,3 meals per day,3 Meals,Once or twice a day,1 Dish of Rice / Noodles with other food in the plate not mixed +/- Beverage,1 Dish of Rice / Noodles with other food in the plate not mixed +/- Beverage,1 Dish of Rice / Noodles with other food in the plate not mixed +/- beverage,1 Dish of Rice / Noodles with other food in the plate not mixed +/- Beverage,Sandwich / Burger / Savoury Patries +/- Beverage,Rice / Roti Canai / Noodles +/- Beverage,"Local/Western Pastries (Kuih Muih, Cakes, Pastries, Sandwich) +/- Beverage",7,14,21,Daily,1.0,Weekly,1,Seldom,0,Daily,1,Seldom,0,Weekly,2,Seldom,0,Monthly,1,Weekly,5,Weekly,2,0.29,Seldom,0.0,Seldom,0,Monthly,2,Monthly,1,Weekly,5,Seldom,0,Weekly,1.0,Monthly,2,Weekly,2,Seldom,0,Seldom,0,Monthly,2,Weekly,5,Daily,2,Weekly,3,Daily,1,Weekly,1,Monthly,2,Weekly,1,Weekly,5,Seldom,0,Seldom,0,My Mother,Food must be first of all a need,Fried rice,Roti Canai,Agree,Health,Pleasure,Vegetables,Water,Oily Food,Salty Food,Genetically Modify Organism (GMO),Expired food,Food epidemic,Malay language,Malay tradition,Eat halal,Malaysian,Buddhist,Chinese,Malay,Malay,Malay,Malay,Malay,Malay,Malay,,,,,,,,Muslim,No,Not converted,Moderately religious,153.0,1.53,50.0,21.359306249733006,Manager,Own business,Factory worker,College / University,Single or never married,,0.0,5,2000,Have remained more or less stable,Yes
